RK,Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
246,"Pompey, D",TOR,CF,34,94,17,21,8,0,2,6,7,23,5,1,0.223,0.291,0.372,0.664,0,2,0,0,35,10,1,23,28,0.82,376,103
247,"Montero, J",SEA,1B,38,112,11,25,6,0,5,19,4,32,0,0,0.223,0.25,0.411,0.661,0,0,0,0,46,11,2,30,27,1.11,384,116
248,"Alberto, H",TEX,SS,41,99,12,22,2,1,0,4,2,17,1,0,0.222,0.238,0.263,0.5,0,0,3,0,26,3,2,36,29,1.24,345,104
249,"Lowrie, J",HOU,3B,69,230,35,51,14,0,9,30,28,43,1,0,0.222,0.312,0.4,0.712,5,3,0,2,92,23,3,61,80,0.76,1086,263
250,"Beckham, T",TB,2B,82,203,24,45,7,4,9,37,13,69,3,1,0.222,0.274,0.429,0.702,0,3,0,4,87,20,3,59,37,1.59,899,223
251,"Infante, O",KC,2B,124,440,39,97,23,7,2,44,9,69,2,2,0.22,0.234,0.318,0.552,0,0,2,4,140,32,8,139,149,0.93,1557,455
252,"Soto, G",CWS,C,78,187,20,41,8,0,9,21,21,63,0,1,0.219,0.301,0.406,0.708,0,1,1,0,76,17,2,41,45,0.91,875,210
253,"Ramirez, J",CLE,3B,97,315,50,69,14,3,6,27,32,39,10,4,0.219,0.291,0.34,0.631,0,1,5,2,107,23,5,116,103,1.13,1416,355
254,"Hardy, J",BAL,SS,114,411,45,90,14,0,8,37,20,88,0,0,0.219,0.253,0.311,0.564,0,0,2,4,128,22,11,143,107,1.34,1789,437
255,"Flores, R",SEA,LF,12,32,3,7,1,0,0,0,0,4,0,0,0.219,0.219,0.25,0.469,0,0,1,0,8,1,0,11,11,1,114,33
255,"Martin, L",TEX,CF,95,288,26,63,12,0,5,25,16,69,14,5,0.219,0.264,0.313,0.576,1,2,3,1,90,17,5,98,67,1.46,1112,310
257,"Pearce, S",BAL,1B,92,294,42,64,13,1,15,40,23,69,1,1,0.218,0.289,0.422,0.711,1,7,0,1,124,29,11,75,98,0.77,1216,325
258,"Cuthbert, C",KC,3B,19,46,6,10,2,1,1,8,4,9,0,0,0.217,0.28,0.37,0.65,0,0,0,0,17,4,0,13,14,0.93,177,50
258,"Schafer, J",MIN,CF,27,69,9,15,3,0,0,5,3,23,0,3,0.217,0.25,0.261,0.511,0,0,2,0,18,3,0,22,11,2,299,74
260,"Moss, B",CLE,RF,94,337,36,73,17,1,15,50,32,106,0,0,0.217,0.288,0.407,0.695,2,3,0,3,137,33,9,67,103,0.65,1464,375
261,"Parmelee, C",BAL,1B,32,97,11,21,7,1,4,9,4,26,0,1,0.216,0.255,0.433,0.688,0,1,0,0,42,12,1,14,37,0.38,417,102
262,"Jones, G",NYY,RF,57,144,12,31,4,1,5,17,8,37,0,0,0.215,0.257,0.361,0.618,0,0,0,0,52,10,1,41,36,1.14,583,152
263,"Santana, D",MIN,CF,91,261,30,56,10,5,0,21,6,68,8,4,0.215,0.241,0.291,0.532,1,3,7,0,76,15,7,98,53,1.85,940,277
264,"Garcia, L",CWS,2B,17,14,0,3,0,0,0,1,1,7,1,0,0.214,0.267,0.214,0.481,0,0,0,0,3,0,0,4,0,*.**,62,15
264,"Kawasaki, M",TOR,2B,23,28,6,6,2,0,0,2,4,6,0,1,0.214,0.313,0.286,0.598,0,0,2,0,8,2,1,14,5,2.8,122,34
264,"Ruggiano, J",SEA,RF,36,70,8,15,4,0,2,3,11,27,3,2,0.214,0.321,0.357,0.678,0,0,0,0,25,6,0,13,15,0.87,333,81
267,"Marte, J",DET,1B,33,80,9,17,4,0,4,11,8,22,0,0,0.213,0.284,0.413,0.697,0,0,2,0,33,8,2,26,19,1.37,335,90
268,"Castro, J",HOU,C,104,337,38,71,19,0,11,31,33,115,0,0,0.211,0.283,0.365,0.648,1,2,0,3,123,30,5,73,86,0.85,1476,375
269,"Buxton, B",MIN,CF,46,129,16,27,7,1,2,6,6,44,2,2,0.209,0.25,0.326,0.576,0,1,2,0,42,10,1,27,34,0.79,513,138
270,"Beckham, G",CWS,3B,100,211,24,44,8,0,6,20,19,43,0,1,0.209,0.275,0.332,0.607,1,2,1,4,70,14,6,72,63,1.14,938,237
271,"Cabrera, E",BAL,SS,29,96,7,20,2,0,0,4,5,22,2,0,0.208,0.25,0.229,0.479,0,1,1,2,22,2,4,44,17,2.59,407,105
272,"LaRoche, A",CWS,DH,127,429,41,89,21,0,12,44,49,133,0,0,0.207,0.293,0.34,0.634,0,4,0,2,146,33,10,117,102,1.15,1907,484
273,"Muncy, M",OAK,1B,45,102,14,21,8,1,3,9,9,31,0,0,0.206,0.268,0.392,0.66,0,0,0,1,40,12,0,20,31,0.65,490,112
274,"Elmore, J",TB,1B,51,141,10,29,5,0,2,16,12,25,1,1,0.206,0.263,0.284,0.547,1,0,2,3,40,7,6,51,47,1.09,597,158
275,"Thole, J",TOR,C,18,49,5,10,2,0,0,2,3,9,0,0,0.204,0.25,0.245,0.495,0,0,0,0,12,2,2,18,14,1.29,194,52
276,"Gallo, J",TEX,3B,36,108,16,22,3,1,6,14,15,57,3,0,0.204,0.301,0.417,0.717,3,0,0,0,45,10,0,12,17,0.71,504,123
277,"Olt, M",CWS,3B,24,79,6,16,0,0,3,4,7,29,0,1,0.203,0.267,0.316,0.584,0,0,0,0,25,3,2,23,13,1.77,374,86
278,"Flaherty, R",BAL,2B,91,267,34,54,8,3,9,31,26,81,0,0,0.202,0.281,0.356,0.637,2,4,2,2,95,20,8,83,61,1.36,1149,301
279,"Lough, D",BAL,LF,84,134,14,27,1,1,4,12,5,36,2,4,0.201,0.241,0.313,0.555,0,2,3,0,42,6,0,36,38,0.95,501,144
280,"Drew, S",NYY,2B,131,383,43,77,16,1,17,44,37,71,0,2,0.201,0.271,0.381,0.652,1,1,4,3,146,34,7,113,136,0.83,1661,428
281,"Bernier, D",MIN,SS,4,5,1,1,1,0,0,2,1,3,0,0,0.2,0.333,0.4,0.733,0,0,0,0,2,1,0,0,1,0,28,6
281,"Gibson, K",MIN,P,2,5,0,1,0,0,0,0,0,2,0,0,0.2,0.2,0.2,0.4,0,0,0,0,1,0,0,2,0,*.**,15,5
281,"Kelly, J",BOS,P,2,5,0,1,0,0,0,1,0,2,0,0,0.2,0.2,0.2,0.4,0,0,0,0,1,0,0,2,0,*.**,16,5
281,"Keuchel, D",HOU,P,2,5,0,1,0,0,0,0,0,4,0,0,0.2,0.2,0.2,0.4,0,0,1,0,1,0,0,1,0,*.**,19,6
281,"Santiago, H",LAA,P,3,5,0,1,0,0,0,0,0,3,0,0,0.2,0.2,0.2,0.4,0,0,0,0,1,0,1,2,0,*.**,17,5
281,"Strausborger, R",TEX,LF,31,45,9,9,0,0,1,3,3,11,2,1,0.2,0.24,0.267,0.507,0,0,1,2,12,1,1,16,13,1.23,194,51
287,"Carter, C",HOU,1B,129,391,50,78,17,0,24,64,57,151,1,2,0.199,0.307,0.427,0.734,1,6,0,5,167,41,5,63,109,0.58,1963,460
288,"Swisher, N",CLE,DH,30,101,6,20,4,0,2,8,8,24,0,0,0.198,0.261,0.297,0.558,1,1,0,1,30,6,2,34,26,1.31,455,111
289,"Fuld, S",OAK,LF,120,290,34,57,16,3,2,22,30,55,9,3,0.197,0.276,0.293,0.569,1,2,2,1,85,21,6,126,61,2.07,1325,325
290,"Butera, D",KC,C,55,107,9,21,3,0,1,5,6,26,0,1,0.196,0.252,0.252,0.505,0,2,5,0,27,4,0,24,41,0.59,402,120
291,"Field, T",TEX,2B,14,41,6,8,1,0,2,5,2,16,1,0,0.195,0.25,0.366,0.616,0,1,1,0,15,3,0,12,6,2,196,45
292,"Kubitza, K",LAA,3B,19,36,6,7,0,0,0,1,3,15,0,0,0.194,0.256,0.194,0.451,0,0,0,0,7,0,2,9,7,1.29,166,39
293,"Nava, D",TB,RF,60,139,13,27,4,0,1,10,20,36,1,0,0.194,0.315,0.245,0.56,0,5,1,1,34,5,4,43,39,1.1,667,166
294,"Saunders, M",TOR,RF,9,31,2,6,0,0,0,3,5,10,0,0,0.194,0.306,0.194,0.499,0,0,0,0,6,0,1,13,3,4.33,159,36
295,"Rua, R",TEX,LF,28,83,10,16,5,0,4,7,3,32,0,0,0.193,0.221,0.398,0.619,0,0,0,0,33,9,2,22,15,1.47,341,86
295,"Smolinski, J",OAK,LF,76,166,24,32,7,2,6,26,19,39,1,1,0.193,0.281,0.367,0.649,0,3,0,4,61,15,3,49,53,0.92,756,192
297,"Singleton, J",HOU,1B,19,47,6,9,2,0,1,6,10,17,1,0,0.191,0.328,0.298,0.625,0,0,0,1,14,3,0,5,17,0.29,251,58
298,"Avila, A",DET,C,67,178,21,34,5,0,4,13,40,66,0,1,0.191,0.339,0.287,0.626,0,0,1,0,51,9,4,44,39,1.13,980,219
299,"Green, G",LAA,2B,21,42,6,8,0,0,1,3,2,14,0,1,0.19,0.227,0.262,0.489,1,0,0,0,11,1,2,16,6,2.67,159,44
299,"Romero, S",SEA,RF,13,21,6,4,1,0,1,3,3,6,0,0,0.19,0.292,0.381,0.673,0,0,0,0,8,2,0,4,7,0.57,113,24
301,"Wilson, B",TEX,C,56,132,8,25,5,0,1,14,11,39,0,1,0.189,0.255,0.25,0.505,0,1,2,1,33,6,1,43,29,1.48,570,147
302,"Shaffer, R",TB,3B,31,74,11,14,3,0,4,6,10,32,0,1,0.189,0.307,0.392,0.699,0,3,0,1,29,7,2,15,16,0.94,364,88
303,"Cowgill, C",LAA,LF,55,69,10,13,2,1,1,2,4,19,2,1,0.188,0.233,0.29,0.523,0,0,1,0,20,4,1,21,18,1.17,254,74
304,"Iannetta, C",LAA,C,92,272,28,51,10,0,10,34,41,83,0,1,0.188,0.293,0.335,0.628,1,1,0,3,91,20,11,69,83,0.83,1313,317
305,"Peguero, C",BOS,LF,34,75,11,14,4,0,4,9,13,37,2,0,0.187,0.311,0.4,0.711,0,1,0,1,30,8,1,11,15,0.73,371,90
306,"Leon, S",BOS,C,41,114,8,21,2,0,0,3,7,28,0,1,0.184,0.238,0.202,0.439,1,1,6,0,23,2,4,42,33,1.27,502,128
307,"Moya, S",DET,RF,9,22,1,4,0,1,0,0,3,10,0,0,0.182,0.28,0.273,0.553,0,0,0,0,6,1,0,2,6,0.33,98,25
307,"Telis, T",TEX,C,6,11,1,2,0,0,0,2,0,1,0,0,0.182,0.25,0.182,0.432,0,1,0,0,2,0,0,6,2,3,39,12
307,"Venable, W",TEX,CF,37,66,6,12,3,0,0,3,12,21,5,0,0.182,0.325,0.227,0.552,2,2,2,0,15,3,0,27,8,3.38,360,82
310,"Rivera, R",TB,C,110,298,16,53,14,0,5,26,11,86,0,0,0.178,0.213,0.275,0.489,0,3,5,2,82,19,4,80,90,0.89,1175,319
311,"Corporan, C",TEX,C,33,107,10,19,4,0,3,15,6,40,0,0,0.178,0.244,0.299,0.543,0,4,2,2,32,7,1,25,28,0.89,470,121
312,"Crisp, C",OAK,LF,44,126,11,22,6,0,0,6,13,25,2,0,0.175,0.252,0.222,0.474,0,0,0,0,28,6,2,36,45,0.8,533,139
313,"Zunino, M",SEA,C,112,350,28,61,11,0,11,28,21,132,0,1,0.174,0.23,0.3,0.53,0,5,8,2,105,22,6,74,99,0.75,1582,386
314,"Joyce, M",LAA,LF,93,247,17,43,12,1,5,21,30,67,0,3,0.174,0.272,0.291,0.564,1,4,1,2,72,18,5,68,77,0.88,1074,284
315,"Cowart, K",LAA,3B,34,46,8,8,2,0,1,4,5,19,1,1,0.174,0.255,0.283,0.538,0,0,1,0,13,3,1,15,6,2.5,209,52
316,"Maile, L",TB,C,15,35,2,6,3,0,0,2,0,8,0,0,0.171,0.171,0.257,0.429,0,0,0,0,9,3,3,13,11,1.18,127,35
317,"Taylor, C",SEA,SS,37,94,9,16,3,1,0,1,6,31,3,2,0.17,0.22,0.223,0.443,0,0,2,0,21,4,0,19,30,0.63,375,102
318,"Bauer, T",CLE,P,3,6,0,1,0,0,0,0,1,1,0,0,0.167,0.286,0.167,0.452,0,0,0,0,1,0,0,3,1,3,30,7
318,"Bonifacio, E",CWS,2B,47,78,5,13,2,0,0,4,2,27,1,4,0.167,0.198,0.192,0.39,0,1,1,0,15,2,1,26,14,1.86,310,82
318,"Gomes, J",KC,LF,12,30,2,5,2,0,0,4,3,14,0,0,0.167,0.235,0.233,0.469,0,0,0,1,7,2,1,5,8,0.63,120,34
