,RK,Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
25,26,"Bourn, M",CLE,CF,19,57,8,20,3,0,1,4,4,11,0,1,.351,.393,.456,.850,0,0,0,0,26,4,1,13,14,0.93,113,61
26,27,"Gordon, D",MIA,2B,21,63,11,22,4,2,0,2,0,10,7,2,.349,.369,.476,.845,0,2,0,0,30,6,1,21,11,1.91,88,65
27,28,"Maxwell, J",SF,RF,27,72,11,25,5,1,2,15,5,17,2,0,.347,.385,.528,.912,0,0,0,1,38,8,1,14,18,0.78,183,78
28,29,"Morse, M",MIA,1B,19,49,8,17,1,0,5,17,5,12,0,0,.347,.429,.673,1.102,0,2,0,0,33,6,1,14,7,2.00,108,56
29,30,"Davis, K",MIL,LF,20,55,10,19,6,1,1,15,4,18,1,0,.345,.390,.545,.935,0,0,0,0,30,8,1,14,5,2.80,145,59
30,31,"Soler, J",CHC,RF,19,58,9,20,2,1,4,15,6,12,0,0,.345,.400,.621,1.021,0,0,0,1,36,7,4,21,10,2.10,147,65
31,31,"Zobrist, B",OAK,2B,21,58,10,20,7,1,1,15,5,2,0,0,.345,.385,.552,.936,0,0,0,2,32,9,0,23,15,1.53,126,65
32,33,"Cowgill, C",LAA,LF,25,61,13,21,8,1,1,7,5,8,4,0,.344,.394,.557,.951,0,0,0,0,34,10,1,21,12,1.75,134,66
33,33,"Escobar, E",MIN,SS,18,61,11,21,5,0,4,20,0,8,0,0,.344,.339,.623,.962,0,0,0,1,38,9,1,17,17,1.00,85,62
34,35,"Herrera, O",PHI,CF,21,70,12,24,1,0,2,7,4,13,7,0,.343,.382,.443,.824,0,1,2,1,31,3,1,28,9,3.11,140,78
35,36,"Freeman, F",ATL,1B,24,59,9,20,5,0,3,11,9,18,0,0,.339,.420,.576,.997,0,0,0,1,34,8,1,14,9,1.56,147,69
36,36,"Johnson, M",CWS,2B,22,59,12,20,3,1,1,6,5,14,3,1,.339,.391,.475,.865,0,0,0,0,28,5,0,21,4,5.25,141,64
37,38,"Shuck, J",CWS,RF,26,62,7,21,6,0,0,5,5,10,5,1,.339,.388,.435,.824,0,0,1,0,27,6,0,21,11,1.91,146,68
38,39,"Pederson, J",LAD,CF,26,65,14,22,5,0,6,13,4,15,3,2,.338,.377,.692,1.069,0,0,0,0,45,11,1,18,11,1.64,152,69
39,40,"Marte, S",PIT,LF,22,68,12,23,4,1,2,7,1,14,5,1,.338,.357,.515,.872,0,1,0,0,35,7,1,19,13,1.46,124,70
40,41,"Altuve, J",HOU,2B,16,51,5,17,5,0,0,5,2,5,3,0,.333,.358,.431,.790,0,0,0,0,22,5,0,13,16,0.81,80,53
41,41,"Hosmer, E",KC,1B,22,63,13,21,5,0,4,14,2,15,0,0,.333,.354,.603,.957,0,0,0,0,38,9,1,17,11,1.55,233,65
42,41,"Jackson, A",SEA,CF,21,60,5,20,4,2,0,4,3,11,3,1,.333,.359,.467,.826,0,0,0,1,28,6,0,14,16,0.88,200,64
43,41,"Marisnick, J",HOU,CF,18,45,6,15,4,1,1,9,3,11,4,1,.333,.404,.533,.937,0,3,0,1,24,6,1,11,10,1.10,95,52
44,41,"Mercer, J",PIT,SS,19,57,10,19,1,0,3,4,5,8,1,1,.333,.387,.509,.896,1,0,0,0,29,4,2,17,15,1.13,116,62
45,41,"Moustakas, M",KC,3B,22,60,8,20,5,0,2,11,5,6,1,2,.333,.394,.517,.911,0,1,0,0,31,7,2,24,12,2.00,217,66
46,41,"Robinson, C",WSH,1B,28,51,5,17,6,1,2,8,6,11,0,0,.333,.404,.608,1.011,0,0,1,0,31,9,1,16,9,1.78,100,58
47,48,"Alonso, Y",SD,1B,19,55,10,18,3,1,1,5,5,12,1,1,.327,.383,.473,.856,0,0,0,0,26,5,1,21,5,4.20,180,60
48,48,"Chisenhall, L",CLE,3B,20,55,4,18,8,1,0,5,5,10,0,0,.327,.383,.509,.892,0,0,1,0,28,9,3,20,11,1.82,106,61
49,48,"Donaldson, J",TOR,3B,21,55,8,18,1,0,6,12,7,14,0,1,.327,.403,.673,1.076,0,0,0,0,37,7,1,15,9,1.67,131,62
0,51,"Muno, D",NYM,2B,27,52,8,17,1,1,1,5,8,9,1,0,.327,.426,.442,.869,0,1,0,0,23,3,0,19,7,2.71,112,61
1,52,"Garcia, A",CWS,DH,21,68,7,22,3,0,2,10,4,11,1,2,.324,.370,.456,.826,0,1,0,0,31,5,3,24,14,1.71,168,73
2,52,"Peterson, J",ATL,2B,25,68,12,22,5,0,0,4,10,16,3,1,.324,.410,.397,.807,0,0,0,0,27,5,0,15,15,1.00,148,78
